im_lat,im_lon,clust_lat,clust_lon,nightlight,consumption,nightlight_bin
-17.116666,35.183332,-17.09515,35.217213,0,2.039306659,1
-17.058333,35.199999,-17.09515,35.217213,0,2.039306659,1
-17.091666,35.199999,-17.09515,35.217213,0,2.039306659,1
-17.1,35.208332,-17.09515,35.217213,0,2.039306659,1
-17.108333,35.208332,-17.09515,35.217213,0,2.039306659,1
-17.075,35.224999,-17.09515,35.217213,0,2.039306659,1
-17.05,35.233332,-17.09515,35.217213,0,2.039306659,1
-17.1,35.233332,-17.09515,35.217213,0,2.039306659,1
-17.116666,35.233332,-17.09515,35.217213,0,2.039306659,1
-17.075,35.249999,-17.09515,35.217213,0,2.039306659,1
-17.066666,35.066666,-17.092351,35.114643,0,2.268111526,1
-17.066666,35.083332,-17.092351,35.114643,0,2.268111526,1
-17.116666,35.083332,-17.092351,35.114643,0,2.268111526,1
-17.083333,35.091666,-17.092351,35.114643,0,2.268111526,1
-17.075,35.099999,-17.092351,35.114643,0,2.268111526,1
-17.05,35.108332,-17.092351,35.114643,0,2.268111526,1
-17.108333,35.108332,-17.092351,35.114643,0,2.268111526,1
-17.116666,35.116666,-17.092351,35.114643,0,2.268111526,1
-17.108333,35.133332,-17.092351,35.114643,0,2.268111526,1
-17.016666,35.041666,-17.016698,35.079629,0,2.336783571,1
-16.991666,35.049999,-17.016698,35.079629,0,2.336783571,1
-17.025,35.058332,-17.016698,35.079629,0,2.336783571,1
-16.975,35.066666,-17.016698,35.079629,0,2.336783571,1
-17,35.066666,-17.016698,35.079629,0,2.336783571,1
-17.008333,35.066666,-17.016698,35.079629,0,2.336783571,1
-16.991666,35.083332,-17.016698,35.079629,0,2.336783571,1
-17.033333,35.083332,-17.016698,35.079629,0,2.336783571,1
-16.991666,35.091666,-17.016698,35.079629,0,2.336783571,1
-16.991666,35.099999,-17.016698,35.079629,0,2.336783571,1
-17.016666,35.108332,-17.016698,35.079629,0,2.336783571,1
-17.033333,35.108332,-17.016698,35.079629,0,2.336783571,1
-16.975,35.116666,-17.016698,35.079629,0,2.336783571,1
-16.95,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.958333,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.966666,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.975,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.983333,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.991666,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-17,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-17.008333,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-17.016666,35.158332,-16.977243,35.205706,0.121212121,2.497625908,1
-16.933333,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
-16.941666,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
-16.966666,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
-16.975,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
-16.983333,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
-16.991666,35.166666,-16.977243,35.205706,0.121212121,2.497625908,1
